No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,css,49500,262.841347086783,1,46
1,※ css,40500,76.90096647450001,1,31
2,html&css,12100,238.31105328817802,2,35
3,htm・css,12100,191.819669132673,4,36
4,css flexbox,12100,430.145794797993,3,22
5,css in html,12100,238.31105328817802,2,17
6,css　flex,12100,745.1486057202,5,23
7,css html,12100,238.31105328817802,2,22
8,html to css,12100,208.42603215112499,4,18
9,html for css,12100,208.42603215112499,4,18
10,html & css,12100,208.42603215112499,4,18
11,css　flexbox,12100,433.55427490210496,4,23
12,css flex,12100,430.145794797993,3,22
13,html css i,12100,208.42603215112499,4,18
14,css to html,12100,238.31105328817802,2,17
15,html css,12100,208.4233785636,4,23
16,flex css,12100,430.145794797993,3,22
17,css border,9900,0.0,1,21
18,html・css,9900,194.66718083400002,2,34
19,border css,9900,0.0,1,21
20,Border CSS,9900,0.0,1,21
21,html　css,9900,194.66718083400002,2,21
22,html、css,9900,194.66718083400002,2,34
23,css　border,9900,0.0,1,21
24,css positioning,8100,0.0,1,21
25,css animation,8100,0.0,1,20
26,CSS position,8100,0.0,1,21
27,css position,8100,0.0,1,21
28,CSS animation,8100,0.0,1,20
29,html a css,8100,195.70738714380002,1,16
30,position css,8100,0.0,1,21
31,animate css,8100,0.0,1,21
32,css animate,8100,0.0,1,21
33,animation css,8100,0.0,1,21
34,css セレクター,6600,0.0,1,20
35,css transition,6600,0.0,1,20
36,Margin CSS,6600,0.0,1,20
37,css　セレクタ,6600,0.0,1,20
38,css　書き方,6600,128.858210214,1,20
39,cssセレクター,6600,0.0,1,33
40,css　position,6600,288.702361957425,1,20
41,css セレクタ,6600,40.4619025812,2,20
42,translation css,6600,0.0,1,19
43,css書き方,6600,128.858210214,1,33
44,css display,6600,0.0,1,20
45,css 書き方,6600,89.896327588932,1,20
46,cssセレクタ,6600,7.6622870501880005,1,33
47,display css,6600,0.0,1,20
48,cssとは,6600,0.0,1,33
49,css とは,6600,0.0,1,20
50,transition css,6600,0.0,1,20
51,margin css,5400,0.0,1,20
52,css　display,5400,0.0,1,20
53,css float,5400,0.0,1,20
54,Padding CSS,5400,0.0,1,19
55,css アニメーション,5400,0.0,1,20
56,cssアニメーション,5400,0.0,1,33
57,float css,5400,0.0,1,20
58,important css,5400,0.0,1,20
59,css margin,5400,0.0,1,20
60,Important CSS,5400,0.0,1,19
61,css important,5400,0.0,1,20
62,CSS padding,5400,0.0,1,19
63,css floats,5400,0.0,1,20
64,CSSアニメーション,5400,3.8530090862999997,1,33
65,css table,4400,277.738375165131,1,20
66,background css,4400,443.214713358618,1,20
67,css　float,4400,0.0,1,20
68,calc css,4400,0.0,1,20
69,overflow css,4400,0.0,1,19
70,css background,4400,443.214713358618,1,20
71,css色,4400,0.0,1,33
72,css overflow,4400,0.0,1,19
73,css　アニメーション,4400,0.0,1,20
74,CSS calc,4400,0.0,1,19
75,padding css,4400,0.0,1,20
76,Table CSS,4400,0.0,1,20
77,css floating,4400,784.5778381801709,1,20
78,CSS table,4400,0.0,1,20
79,table css,4400,277.738375165131,1,20
80,css a hover,4400,0.0,1,15
81,css　色,4400,0.0,1,20
82,CSS 色,4400,0.0,1,20
83,hover css,4400,0.0,1,20
84,transform css,4400,0.0,1,19
85,css transform,4400,0.0,1,19
86,css hover,4400,0.0,1,20
87,css calc,4400,0.0,1,20
88,css 色,4400,0.0,1,20
89,css padding,4400,0.0,1,20
90,CSS background,4400,0.0,1,19
91,css with jquery,3600,187.669564387074,1,15
92,css backgroundimage,3600,0.0,1,19
93,css for background image,3600,0.0,1,6
94,background image css,3600,0.0,1,14
95,grid css,3600,0.0,1,19
96,css grid,3600,415.705183773945,1,20
97,css background image,3600,0.0,1,14
98,css ボタン,3600,0.0,1,20
99,css image background,3600,0.0,1,14
