No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
0,|| ruby,33100,425.798480944,8,30
1,ruby,33100,254.1930202568,4,42
2,ruby ||,33100,425.798480944,8,30
3,ruby on rails,12100,306.07597759168,7,19
4,ruby rails,12100,342.34777474416,10,25
5,ruby rose,4400,6.956445926240001,1,20
6,ruby　入門,2900,362.898965868,34,29
7,ruby 入門,2900,252.84304661312,13,22
8,ruby入門,2900,219.11111494768002,11,35
9,ruby 正規 表現,2400,0.0,1,14
10,gems ruby,2400,472.7635937408,1,19
11,ruby hashes,2400,0.0,1,18
12,ruby gem,2400,472.7635937408,1,19
13,ruby hash,2400,0.0,1,18
14,ruby hashmap,2400,0.0,1,18
15,gem ruby,2400,5954.16740513408,1,19
16,ruby gems,2400,5954.16740513408,1,19
17,ruby hash map,2400,0.0,1,13
18,ruby正規表現,2400,0.0,1,32
19,ruby　gem,2400,389.026375088,3,20
20,ruby case,1900,24.18976127488,6,20
21,map ruby,1900,0.0,1,18
22,ruby case when,1900,39.45029136016,7,16
23,ruby 正規表現,1900,0.0,1,19
24,rubyインストール,1900,259.22243374192,1,32
25,ruby av,1900,0.0,1,19
26,case when ruby,1900,107.77921211200001,1,14
27,ruby map,1900,0.0,1,19
28,case ruby,1900,24.18976127488,6,20
29,ruby and you,1600,0.0,1,14
30,ruby 配列,1600,251.85060314415998,1,19
31,ruby for each,1600,0.0,1,14
32,ruby array,1600,0.0,1,18
33,ruby インストール,1600,245.58894195471999,1,19
34,ruby foreach,1600,0.0,1,19
35,ruby　配列,1600,722.48186059648,2,19
36,array in ruby,1600,0.0,1,13
37,ruby インストーラー,1600,560.679074768,5,20
38,ruby if,1600,0.0,1,19
39,ruby || if,1600,0.0,1,13
40,ruby配列,1600,689.646832864,1,32
41,if ruby,1600,0.0,1,18
42,ruby　if,1600,0.0,1,19
43,ruby each,1600,0.0,1,19
44,ruby できること,1600,412.499908308,4,20
45,array ruby,1600,0.0,1,19
46,ruby 出来ること,1300,493.79078406400004,19,24
47,for in ruby,1300,0.0,1,14
48,included ruby,1300,0.0,1,19
49,ruby includes,1300,0.0,1,19
50,Ruby times,1300,0.0,1,19
51,ruby for in,1300,0.0,1,14
52,include ruby,1300,0.0,1,19
53,for ruby,1300,0.0,1,19
54,ruby modine,1300,0.0,1,18
55,includes ruby,1300,0.0,1,19
56,ruby included,1300,0.0,1,19
57,ruby times,1300,0.0,1,19
58,ruby time,1300,0.0,1,19
59,time ruby,1300,0.0,1,18
60,rubyできること,1300,493.79078406400004,19,37
61,ruby for,1300,0.0,1,18
62,ruby include,1300,0.0,1,19
63,ruby version,1000,0.0,1,18
64,rubyとは,1000,358.46476369216,1,32
65,ruby とは,1000,289.19435389055997,1,19
66,ruby split,1000,0.0,1,18
67,split ruby,1000,0.0,1,18
68,ruby on rails　入門,1000,219.21514688687998,14,10
69,sort by ruby,1000,0.0,1,13
70,ruby gsub,1000,0.0,1,18
71,ruby sort,1000,0.0,1,19
72,ruby sorting,1000,0.0,1,18
73,ruby on railsチュートリアル,1000,273.27131020064,5,15
74,Ruby on Railsチュートリアル,1000,447.475340112,3,14
75,ruby on rails チュートリアル,1000,533.51527389248,1,6
76,csv ruby,880,0.0,1,18
77,ruby inject,880,40.6345569864,1,19
78,ruby on rails入門,880,226.28422331055998,21,20
79,ruby on rails 入門,880,193.210134428,15,10
80,ruby csv,880,0.0,1,19
81,ruby string %,880,0.0,1,14
82,ruby プログラミング,880,182.28985930816,12,22
83,inject ruby,880,0.0,1,18
84,ruby　プログラミング,880,342.98693424,28,27
85,ruby install,880,442.618747032,3,20
86,ruby while,880,616.90451632416,1,19
87,ruby installer,880,611.54283756384,5,20
88,ruby match,720,0.0,1,19
89,strings ruby,720,0.0,1,18
90,ruby strings,720,0.0,1,18
91,string ruby,720,0.0,1,18
92,ruby json,720,0.0,1,18
93,ruby class,720,0.0,1,19
94,unless ruby,720,463.2303403736,1,19
95,ruby 言語,720,328.88179561007996,1,19
96,ruby言語,720,290.52490116191996,5,33
97,ruby in string,720,0.0,1,13
98,ruby to python,720,0.0,1,14
99,ruby mushroom,720,68.31076824,1,19
